IXI002-Guys-0828-BrainSegmentation.nii.gz
Label,Total/Target,Jaccard,Dice,VolumeSimilarity,FalseNegative,FalsePositive
All,0.955595,0.915001,0.955614,-4.12288e-05,0.0444054,0.044366
1,0.945871,0.860663,0.925115,0.0438881,0.0541292,0.0947503
2,0.949553,0.916895,0.956646,-0.0149394,0.050447,0.0361545
3,0.974832,0.96022,0.979707,-0.0100005,0.0251678,0.0153701
4,0.959208,0.832038,0.90832,0.106105,0.0407917,0.137441
5,0.965759,0.730685,0.844388,0.251349,0.0342408,0.249883
6,0.932194,0.922205,0.959528,-0.0586458,0.0678063,0.0114855
IXI012-HH-1211-BrainSegmentation.nii.gz
Label,Total/Target,Jaccard,Dice,VolumeSimilarity,FalseNegative,FalsePositive
All,0.942811,0.89183,0.942823,-2.50571e-05,0.057189,0.0571654
1,0.936211,0.858391,0.9238,0.0265133,0.0637888,0.088286
2,0.941093,0.892691,0.943304,-0.00469784,0.0589068,0.0544753
3,0.95108,0.92979,0.963618,-0.0263658,0.0489201,0.0235092
4,0.950479,0.702494,0.825253,0.2635,0.0495214,0.270817
5,0.947214,0.722546,0.838928,0.228641,0.0527862,0.247139
6,0.933281,0.924823,0.960944,-0.05928,0.0667189,0.009704
IXI013-HH-1212-BrainSegmentation.nii.gz
Label,Total/Target,Jaccard,Dice,VolumeSimilarity,FalseNegative,FalsePositive
All,0.939051,0.885074,0.939034,3.68087e-05,0.0609489,0.0609835
1,0.939027,0.852744,0.92052,0.0394173,0.0609731,0.0972716
2,0.920359,0.866078,0.928233,-0.0171123,0.0796413,0.063756
3,0.946847,0.919121,0.957856,-0.0232553,0.0531531,0.0308749
4,0.938772,0.723965,0.839883,0.210676,0.0612282,0.240157
5,0.95492,0.855292,0.922003,0.068943,0.0450798,0.108721
6,0.968954,0.9573,0.978184,-0.0190514,0.0310455,0.0124081
IXI014-HH-1236-BrainSegmentation.nii.gz
Label,Total/Target,Jaccard,Dice,VolumeSimilarity,FalseNegative,FalsePositive
All,0.936944,0.881261,0.936883,0.000130473,0.0630556,0.0631778
1,0.945545,0.829541,0.906829,0.0818909,0.0544549,0.128841
2,0.930108,0.881916,0.937253,-0.0153636,0.0698916,0.0554912
